Symbol,Company Name,Sector,Industry,Start Date,Last Update,Start Price,Current Price,YTD Change,Market Cap,P/E Ratio,Dividend Yield,Average Volume,Year High,Year Low,Index,Year,Start Year,Last Update Year
AMZN,Amazon,Retailing,Retailing,2015-01-01,2015-12-31,15.43,33.79,1.1907,2300000000000.0,35.470116,0.0099,75960476.0,34.82,14.26,DOW30,2015,2015,2015
NVDA,Nvidia,Information technology,Information technology,2015-01-01,2015-12-31,0.48,0.8,0.6645,3330000000000.0,30.564445,0.0003,310268111.0,0.83,0.45,DOW30,2015,2015,2015
NKE,Nike,Clothing industry,Clothing industry,2015-01-01,2015-12-31,42.35,56.3,0.3294,105310000000.0,28.073051,0.0208,7610102.0,61.43,40.42,DOW30,2015,2015,2015
CRM,Salesforce,Information technology,Information technology,2015-01-01,2015-12-31,58.91,77.96,0.3234,304180000000.0,28.306879,0.0048,4153068.0,82.44,54.64,DOW30,2015,2015,2015
MCD,McDonald's,Food industry,Food industry,2015-01-01,2015-12-31,72.32,94.77,0.3104,202310000000.0,22.473152,0.0251,6505149.0,96.45,68.84,DOW30,2015,2015,2015
HD,Home Depot,Home Improvement,Home Improvement,2015-01-01,2015-12-31,81.89,106.82,0.3044,387300000000.0,24.768005,0.0231,5113994.0,108.94,73.74,DOW30,2015,2015,2015
MSFT,Microsoft,Information technology,Information technology,2015-01-01,2015-12-31,40.15,48.94,0.2188,3110000000000.0,27.908827,0.0079,35950221.0,50.15,34.55,DOW30,2015,2015,2015
UNH,UnitedHealth Group,Managed health care,Managed health care,2015-01-01,2015-12-31,86.56,102.69,0.1864,479180000000.0,17.429987,0.0161,4220439.0,109.51,82.22,DOW30,2015,2015,2015
V,Visa,Financial services,Financial services,2015-01-01,2015-12-31,61.78,72.82,0.1787,595870000000.0,24.329227,0.0077,8896680.0,76.06,56.24,DOW30,2015,2015,2015
BA,Boeing,Aerospace and defense,Aerospace and defense,2015-01-01,2015-12-31,113.66,129.67,0.1409,128690000000.0,246.17851,0.021744379552773137,3914341.0,139.78,102.63,DOW30,2015,2015,2015
DIS,Disney,Broadcasting and entertainment,Broadcasting and entertainment,2015-01-01,2015-12-31,86.31,97.93,0.1346,196760000000.0,17.8438,0.0082,8341311.0,113.05,82.91,DOW30,2015,2015,2015
TRV,Travelers,Insurance,Insurance,2015-01-01,2015-12-31,84.12,92.13,0.0952,52770000000.0,10.948909,0.0181,1974271.0,94.57,76.82,DOW30,2015,2015,2015
JPM,JPMorgan Chase,Financial services,Financial services,2015-01-01,2015-12-31,47.46,51.18,0.0783,675320000000.0,13.826802,0.0208,15871202.0,54.34,38.53,DOW30,2015,2015,2015
HON,Honeywell,Conglomerate,Conglomerate,2015-01-01,2015-12-31,77.71,81.97,0.0547,141880000000.0,19.8762,0.0207,3232267.0,84.1,68.45,DOW30,2015,2015,2015
KO,Coca-Cola,Drink industry,Drink industry,2015-01-01,2015-12-31,30.66,32.3,0.0534,263079999999.99997,20.564297,0.0318,14372063.0,33.01,27.04,DOW30,2015,2015,2015
AMGN,Amgen,Biopharmaceutical,Biopharmaceutical,2015-01-01,2015-12-31,120.23,124.51,0.0357,140960000000.0,12.641423,0.0363,3544912.0,138.11,99.28,DOW30,2015,2015,2015
VZ,Verizon,Telecommunications industry,Telecommunications industry,2015-01-01,2015-12-31,27.91,28.81,0.0322,159170000000.0,7.9983416,0.0717,15139833.0,30.93,23.42,DOW30,2015,2015,2015
